Run,Channel,Entries,Mean,MeanError,RMS,Min,Max
1307,tq30_r1,10353,1.74973,0.000145318,0.014786,1.69484,1.8052
1307,tq30_r2,10353,1.68218,0.000139353,0.0141792,1.6247,1.7366
1307,tq30_r3,10353,1.67293,0.000139674,0.0142118,1.60434,1.7248
1307,tq30_r4,10353,1.72199,0.000141422,0.0143897,1.66666,1.776
1307,tq30_r5l,10353,1.75736,0.000144,0.0146519,1.70098,1.81417
1307,tq30_r5c,10353,1.76101,0.000146122,0.0148678,1.70459,1.82042
1307,tq30_r5r,10353,1.72957,0.000142644,0.014514,1.67295,1.78228
1307,tq30_r6,10353,1.71004,0.000141651,0.014413,1.65105,1.76832
1307,tq31_r1,10353,1.71071,0.000141765,0.0144246,1.65068,1.77043
1307,tq31_r2,10353,1.70159,0.000142952,0.0145453,1.64861,1.75595
1307,tq31_r3,10353,1.87922,0.000156426,0.0159163,1.81588,1.93976
1307,tq31_r4,10353,1.73146,0.000146398,0.014896,1.676,1.7858
1307,tq31_r5l,10353,1.68113,0.00014074,0.0143202,1.6286,1.73824
1307,tq31_r5c,10353,1.79484,0.000150001,0.0152625,1.73205,1.85873
1307,tq31_r5r,10353,1.71066,0.000142901,0.0145401,1.65216,1.76651
1307,tq31_r6,10353,1.67892,0.000138235,0.0140654,1.62744,1.73484
1307,tq32_r1,10353,1.74125,0.00014389,0.0146408,1.68621,1.80109
1307,tq32_r2,10353,1.74056,0.000146148,0.0148705,1.68254,1.79918
1307,tq32_r3,10353,1.70677,0.000139947,0.0142395,1.64286,1.76265
1307,tq32_r4,10353,1.71121,0.000141913,0.0144396,1.64752,1.76573
1307,tq32_r5l,10353,1.68033,0.000139474,0.0141915,1.6261,1.73123
1307,tq32_r5c,10353,1.6882,0.000141717,0.0144196,1.63744,1.74424
1307,tq32_r5r,10353,1.66099,0.000137941,0.0140355,1.59864,1.71612
1307,tq32_r6,10353,1.70492,0.000140825,0.0143289,1.65321,1.75348
1307,tq33_r1,10353,1.64766,0.00013533,0.0137697,1.60026,1.69659
1307,tq33_r2,10353,1.78079,0.000148963,0.015157,1.71201,1.83461
1307,tq33_r3,10353,1.73401,0.000142805,0.0145304,1.68368,1.80151
1307,tq33_r4,10353,1.71546,0.000140597,0.0143057,1.66212,1.77457
1307,tq33_r5l,10353,1.68628,0.000139927,0.0142376,1.63582,1.74247
1307,tq33_r5c,10353,1.79132,0.000148528,0.0151127,1.73014,1.848
1307,tq33_r5r,10353,1.6773,0.000140667,0.0143128,1.62102,1.73103
1307,tq33_r6,10353,1.7221,0.000141765,0.0144245,1.66355,1.78177
1307,tq34_r1,10353,1.66134,0.000138089,0.0140505,1.60925,1.71431
1307,tq34_r2,10353,1.75849,0.000145699,0.0148249,1.70435,1.81975
1307,tq34_r3,10353,1.69262,0.000140312,0.0142767,1.64089,1.74625
1307,tq34_r4,10353,1.69889,0.000142076,0.0144562,1.64117,1.74887
1307,tq34_r5l,10353,1.75481,0.000149019,0.0151626,1.69819,1.81385
1307,tq34_r5c,10353,1.67824,0.000140595,0.0143055,1.62632,1.73141
1307,tq34_r5r,10353,1.6912,0.000142583,0.0145077,1.63892,1.74202
1307,tq34_r6,10353,1.67385,0.000140182,0.0142635,1.61761,1.7282
